"","V1","V2"
"603","IPV1_FcgR3b","TT_FcgR3b"
"604","IPV1_FcgR3b","PRN_IgG"
"605","IPV1_FcgR3b","IPV3_FcgR3b"
"606","IPV1_FcgR3b","FIM_FcgR3b"
"607","IPV1_FcgR3b","PT_IgG4"
"608","IPV1_FcgR3b","PRN_ADCD"
"609","IPV1_FcgR3b","IPV1_FcgR2a"
"610","IPV1_FcgR3b","TT_IgG1"
"611","IPV1_FcgR3b","DT_IgG3"
"612","IPV1_FcgR3b","TT_FcgR2a"
"613","IPV1_FcgR3b","PT_IgG1"
"614","IPV1_FcgR3b","FIM_FcgR2a"
"615","IPV1_FcgR3b","PRN_FcgR3b"
"616","IPV1_FcgR3b","FHA_IgG4"
"617","IPV1_FcgR3b","FIM_IgG2"
"618","IPV1_FcgR3b","DT_IgG4"
"619","IPV1_FcgR3b","IPV3_IgG4"
"620","IPV1_FcgR3b","FHA_IgG3"
"621","IPV1_FcgR3b","IPV2_FcgR3b"
"622","IPV1_FcgR3b","IPV3_IgG1"
"623","IPV1_FcgR3b","IPV1_IgG1"
"624","IPV1_FcgR3b","PT_ADCP"
